iter	Passed	Remaining
0	189	94369
1	198	49335
2	211	35043
3	239	29676
4	273	27094
5	291	24018
6	299	21095
7	326	20096
8	349	19064
9	354	17383
10	375	16707
11	399	16234
12	411	15421
13	432	15006
14	453	14674
15	476	14409
16	499	14180
17	507	13594
18	521	13213
19	546	13112
20	558	12735
21	584	12694
22	606	12582
23	628	12455
24	650	12359
25	671	12244
26	693	12156
27	717	12089
28	738	11993
29	764	11977
30	788	11924
31	796	11655
32	818	11587
33	840	11519
34	860	11438
35	878	11316
36	891	11150
37	905	11008
38	927	10968
39	948	10909
40	968	10842
41	989	10786
42	1012	10763
43	1023	10612
44	1043	10555
45	1066	10527
46	1091	10515
47	1110	10461
48	1131	10418
49	1152	10376
50	1175	10351
51	1195	10303
52	1203	10152
53	1227	10142
54	1252	10130
55	1278	10137
56	1303	10127
57	1323	10083
58	1342	10030
59	1363	9995
60	1370	9865
61	1392	9840
62	1416	9825
63	1431	9749
64	1450	9708
65	1469	9664
66	1489	9628
67	1509	9588
68	1518	9487
69	1538	9450
70	1547	9352
71	1569	9328
72	1589	9298
73	1614	9292
74	1639	9291
75	1665	9289
76	1688	9277
77	1701	9203
78	1729	9214
79	1760	9242
80	1785	9236
81	1808	9218
82	1830	9196
83	1853	9176
84	1888	9218
85	1912	9206
86	1935	9185
87	1955	9153
88	1980	9146
89	2002	9122
90	2023	9095
91	2030	9006
92	2051	8976
93	2071	8947
94	2092	8921
95	2112	8889
96	2132	8860
97	2155	8840
98	2180	8832
99	2205	8821
100	2238	8842
101	2280	8898
102	2305	8886
103	2328	8864
104	2354	8856
105	2381	8850
106	2408	8845
107	2433	8834
108	2458	8820
109	2485	8810
110	2515	8815
111	2541	8805
112	2570	8804
113	2594	8785
114	2635	8822
115	2662	8814
116	2691	8809
117	2728	8832
118	2755	8822
119	2783	8814
120	2807	8794
121	2832	8776
122	2860	8766
123	2887	8756
124	2911	8735
125	2933	8706
126	2954	8675
127	2981	8664
128	3002	8634
129	3024	8607
130	3045	8577
131	3065	8547
132	3087	8519
133	3107	8487
134	3127	8456
135	3149	8428
136	3168	8395
137	3202	8401
138	3224	8374
139	3248	8353
140	3271	8328
141	3292	8301
142	3303	8247
143	3324	8219
144	3343	8186
145	3364	8158
146	3394	8151
147	3414	8121
148	3435	8093
149	3455	8063
150	3479	8042
151	3504	8024
152	3529	8005
153	3556	7991
154	3583	7976
155	3608	7956
156	3633	7938
157	3661	7925
158	3689	7911
159	3711	7887
160	3738	7871
161	3761	7847
162	3782	7820
163	3802	7791
164	3821	7759
165	3843	7732
166	3847	7671
167	3867	7642
168	3888	7615
169	3907	7584
170	3925	7553
171	3947	7527
172	3965	7495
173	3986	7469
174	4006	7439
175	4039	7436
176	4060	7409
177	4083	7386
178	4107	7365
179	4130	7342
180	4155	7324
181	4184	7311
182	4211	7294
183	4242	7285
184	4265	7263
185	4289	7241
186	4311	7217
187	4326	7180
188	4350	7158
189	4376	7141
190	4401	7121
191	4425	7098
192	4448	7076
193	4488	7079
194	4511	7056
195	4532	7029
196	4559	7013
197	4591	7003
198	4630	7004
199	4674	7011
200	4710	7007
201	4741	6994
202	4761	6965
203	4788	6947
204	4824	6941
205	4857	6932
206	4888	6919
207	4926	6915
208	4958	6904
209	4999	6904
210	5042	6906
211	5087	6911
212	5125	6906
213	5154	6888
214	5179	6866
215	5205	6844
216	5231	6823
217	5263	6808
218	5297	6796
219	5322	6774
220	5331	6731
221	5356	6708
222	5384	6688
223	5406	6661
224	5431	6638
225	5455	6614
226	5489	6601
227	5511	6574
228	5533	6548
229	5554	6520
230	5574	6491
231	5595	6463
232	5614	6433
233	5634	6405
234	5655	6377
235	5674	6348
236	5695	6319
237	5713	6290
238	5736	6264
239	5759	6239
240	5777	6209
241	5800	6183
242	5825	6160
243	5847	6134
244	5869	6109
245	5891	6083
246	5903	6047
247	5933	6029
248	5959	6007
249	5997	5997
250	6024	5976
251	6048	5952
252	6073	5928
253	6098	5906
254	6122	5882
255	6148	5860
256	6167	5831
257	6198	5814
258	6226	5793
259	6256	5775
260	6279	5749
261	6303	5725
262	6338	5712
263	6362	5687
264	6388	5664
265	6411	5639
266	6430	5611
267	6449	5583
268	6470	5556
269	6493	5531
270	6513	5504
271	6534	5477
272	6549	5445
273	6571	5420
274	6596	5397
275	6621	5373
276	6643	5348
277	6666	5323
278	6693	5302
279	6718	5279
280	6727	5243
281	6736	5207
282	6766	5188
283	6800	5172
284	6828	5151
285	6852	5127
286	6875	5102
287	6907	5084
288	6934	5063
289	6972	5048
290	6997	5025
291	7029	5007
292	7062	4989
293	7092	4969
294	7120	4948
295	7146	4925
296	7175	4904
297	7212	4888
298	7236	4864
299	7246	4830
300	7286	4817
301	7320	4799
302	7353	4781
303	7385	4761
304	7412	4739
305	7437	4715
306	7465	4693
307	7493	4671
308	7520	4648
309	7549	4626
310	7571	4601
311	7597	4577
312	7645	4567
313	7670	4543
314	7701	4523
315	7727	4499
316	7758	4479
317	7794	4461
318	7821	4437
319	7864	4423
320	7896	4403
321	7927	4382
322	7964	4364
323	8001	4346
324	8025	4321
325	8052	4297
326	8079	4274
327	8105	4250
328	8138	4230
329	8175	4211
330	8241	4207
331	8269	4184
332	8295	4160
333	8319	4134
334	8347	4111
335	8389	4094
336	8422	4073
337	8448	4049
338	8473	4024
339	8500	4000
340	8526	3975
341	8572	3960
342	8607	3939
343	8636	3916
344	8667	3894
345	8706	3875
346	8741	3854
347	8787	3838
348	8825	3818
349	8854	3794
350	8882	3770
351	8915	3748
352	8941	3723
353	8967	3698
354	8999	3675
355	9029	3652
356	9060	3629
357	9089	3605
358	9099	3573
359	9123	3548
360	9150	3523
361	9182	3500
362	9213	3477
363	9252	3456
364	9285	3434
365	9311	3409
366	9338	3384
367	9366	3359
368	9393	3334
369	9420	3310
370	9446	3284
371	9473	3259
372	9499	3234
373	9525	3209
374	9550	3183
375	9574	3157
376	9598	3131
377	9625	3106
378	9650	3080
379	9675	3055
380	9701	3030
381	9723	3003
382	9749	2978
383	9776	2953
384	9802	2927
385	9831	2903
386	9863	2880
387	9891	2855
388	9918	2830
389	9948	2806
390	9979	2782
391	10008	2757
392	10035	2732
393	10059	2706
394	10093	2683
395	10138	2662
396	10178	2640
397	10225	2620
398	10264	2598
399	10312	2578
400	10360	2557
401	10401	2535
402	10441	2513
403	10471	2488
404	10506	2464
405	10533	2438
406	10562	2413
407	10585	2386
408	10606	2359
409	10635	2334
410	10659	2308
411	10684	2282
412	10709	2256
413	10734	2229
414	10764	2204
415	10793	2179
416	10825	2154
417	10853	2129
418	10884	2104
419	10921	2080
420	10947	2054
421	10975	2028
422	10999	2002
423	11020	1975
424	11038	1947
425	11057	1920
426	11075	1893
427	11094	1866
428	11116	1839
429	11134	1812
430	11153	1785
431	11176	1759
432	11200	1733
433	11238	1709
434	11265	1683
435	11296	1658
436	11328	1633
437	11361	1608
438	11406	1584
439	11445	1560
440	11482	1536
441	11514	1510
442	11556	1487
443	11591	1461
444	11632	1437
445	11669	1412
446	11692	1386
447	11715	1359
448	11737	1333
449	11757	1306
450	11789	1280
451	11820	1255
452	11849	1229
453	11889	1204
454	11920	1178
455	11947	1152
456	11972	1126
457	11995	1100
458	12019	1073
459	12041	1047
460	12061	1020
461	12080	993
462	12103	967
463	12128	941
464	12152	914
465	12174	888
466	12193	861
467	12214	835
468	12234	808
469	12253	782
470	12272	755
471	12293	729
472	12315	703
473	12334	676
474	12356	650
475	12393	624
476	12424	599
477	12449	572
478	12480	547
479	12508	521
480	12534	495
481	12560	469
482	12582	442
483	12602	416
484	12623	390
485	12643	364
486	12662	338
487	12687	311
488	12706	285
489	12725	259
490	12747	233
491	12778	207
492	12806	181
493	12835	155
494	12865	129
495	12888	103
496	12914	77
497	12941	51
498	12961	25
499	12981	0
