iter	Passed	Remaining
0	96	48273
1	129	32158
2	159	26477
3	193	24018
4	238	23583
5	275	22658
6	312	22023
7	347	21357
8	384	20991
9	423	20754
10	460	20483
11	499	20300
12	540	20234
13	575	19970
14	614	19857
15	651	19705
16	691	19647
17	729	19536
18	764	19349
19	799	19179
20	836	19072
21	869	18884
22	907	18815
23	943	18706
24	979	18602
25	1016	18527
26	1054	18471
27	1092	18420
28	1132	18390
29	1170	18338
30	1206	18253
31	1241	18149
32	1276	18071
33	1314	18017
34	1354	17994
35	1394	17979
36	1438	17997
37	1474	17924
38	1510	17849
39	1546	17783
40	1580	17699
41	1614	17600
42	1647	17511
43	1685	17472
44	1721	17403
45	1756	17339
46	1793	17290
47	1828	17217
48	1868	17201
49	1906	17162
50	1942	17101
51	1981	17072
52	2016	17009
53	2051	16940
54	2085	16869
55	2120	16815
56	2151	16718
57	2185	16652
58	2222	16608
59	2256	16547
60	2292	16497
61	2324	16424
62	2357	16355
63	2391	16293
64	2423	16217
65	2463	16199
66	2497	16142
67	2532	16089
68	2568	16041
69	2602	15984
70	2635	15922
71	2673	15889
72	2707	15838
73	2742	15785
74	2775	15725
75	2810	15679
76	2844	15626
77	2879	15578
78	2914	15530
79	2953	15506
80	2990	15470
81	3028	15436
82	3064	15396
83	3104	15374
84	3135	15308
85	3171	15269
86	3209	15235
87	3246	15198
88	3297	15227
89	3334	15188
90	3379	15189
91	3417	15156
92	3456	15124
93	3492	15084
94	3524	15024
95	3559	14981
96	3594	14935
97	3638	14924
98	3674	14882
99	3708	14834
100	3749	14812
101	3794	14805
102	3828	14757
103	3869	14735
104	3912	14718
105	3953	14696
106	3992	14664
107	4033	14640
108	4077	14627
109	4121	14612
110	4159	14576
111	4207	14575
112	4250	14555
113	4285	14509
114	4324	14477
115	4356	14420
116	4392	14378
117	4431	14346
118	4467	14302
119	4500	14252
120	4547	14245
121	4583	14200
122	4622	14167
123	4649	14098
124	4686	14059
125	4725	14027
126	4760	13981
127	4795	13937
128	4829	13890
129	4863	13842
130	4898	13799
131	4927	13737
132	4958	13683
133	4990	13629
134	5018	13569
135	5052	13522
136	5076	13450
137	5103	13387
138	5138	13344
139	5168	13291
140	5197	13234
141	5227	13180
142	5259	13131
143	5291	13081
144	5322	13031
145	5355	12984
146	5388	12939
147	5420	12891
148	5455	12850
149	5486	12802
150	5518	12754
151	5545	12697
152	5580	12655
153	5610	12605
154	5641	12557
155	5679	12524
156	5715	12485
157	5736	12417
158	5770	12376
159	5805	12336
160	5840	12296
161	5871	12249
162	5904	12206
163	5938	12167
164	5972	12125
165	6000	12072
166	6033	12031
167	6056	11969
168	6090	11929
169	6120	11881
170	6151	11835
171	6171	11769
172	6206	11731
173	6238	11688
174	6270	11644
175	6295	11589
176	6329	11549
177	6360	11505
178	6389	11457
179	6420	11414
180	6453	11373
181	6487	11334
182	6519	11292
183	6550	11249
184	6580	11204
185	6613	11163
186	6647	11127
187	6684	11092
188	6718	11054
189	6756	11023
190	6788	10983
191	6826	10950
192	6870	10928
193	6904	10890
194	6937	10851
195	6971	10813
196	7009	10781
197	7041	10739
198	7078	10706
199	7110	10665
200	7148	10634
201	7180	10593
202	7218	10560
203	7254	10526
204	7291	10491
205	7326	10455
206	7362	10420
207	7407	10399
208	7442	10363
209	7484	10335
210	7528	10311
211	7568	10282
212	7609	10252
213	7657	10233
214	7695	10200
215	7734	10169
216	7772	10136
217	7803	10093
218	7840	10060
219	7881	10031
220	7918	9997
221	7963	9971
222	8001	9939
223	8033	9898
224	8069	9862
225	8098	9818
226	8130	9778
227	8166	9742
228	8206	9711
229	8240	9673
230	8274	9635
231	8311	9601
232	8347	9565
233	8381	9527
234	8418	9493
235	8446	9448
236	8477	9407
237	8516	9375
238	8553	9340
239	8585	9301
240	8619	9263
241	8656	9228
242	8691	9192
243	8726	9155
244	8759	9117
245	8793	9079
246	8825	9040
247	8855	8998
248	8888	8960
249	8922	8922
250	8953	8882
251	8987	8844
252	9020	8806
253	9056	8771
254	9089	8732
255	9122	8695
256	9157	8658
257	9191	8621
258	9225	8584
259	9260	8547
260	9292	8508
261	9324	8470
262	9358	8433
263	9392	8395
264	9425	8358
265	9461	8323
266	9496	8287
267	9529	8249
268	9563	8212
269	9599	8177
270	9637	8144
271	9672	8107
272	9707	8072
273	9742	8036
274	9774	7997
275	9810	7962
276	9846	7927
277	9885	7894
278	9921	7858
279	9956	7823
280	9992	7787
281	10029	7753
282	10065	7718
283	10102	7683
284	10153	7660
285	10187	7622
286	10218	7584
287	10251	7546
288	10287	7510
289	10323	7475
290	10356	7438
291	10386	7398
292	10420	7361
293	10455	7326
294	10493	7291
295	10527	7255
296	10561	7218
297	10596	7182
298	10627	7144
299	10662	7108
300	10699	7073
301	10738	7040
302	10772	7003
303	10805	6966
304	10838	6929
305	10871	6892
306	10906	6856
307	10943	6821
308	10975	6784
309	11011	6749
310	11046	6713
311	11080	6676
312	11113	6639
313	11147	6603
314	11180	6566
315	11214	6529
316	11247	6493
317	11282	6457
318	11314	6419
319	11347	6383
320	11383	6347
321	11415	6310
322	11449	6274
323	11483	6238
324	11523	6205
325	11570	6175
326	11609	6141
327	11648	6108
328	11683	6072
329	11721	6038
330	11756	6002
331	11792	5967
332	11831	5933
333	11865	5897
334	11901	5861
335	11935	5825
336	11969	5789
337	12004	5753
338	12041	5718
339	12075	5682
340	12107	5645
341	12141	5609
342	12176	5573
343	12214	5539
344	12253	5504
345	12291	5470
346	12328	5435
347	12368	5402
348	12404	5367
349	12446	5334
350	12485	5300
351	12520	5264
352	12558	5229
353	12591	5193
354	12626	5157
355	12667	5123
356	12702	5087
357	12741	5053
358	12774	5017
359	12815	4983
360	12850	4948
361	12898	4917
362	12936	4882
363	12972	4846
364	13020	4815
365	13062	4782
366	13095	4745
367	13134	4711
368	13170	4675
369	13211	4641
370	13245	4605
371	13282	4570
372	13326	4537
373	13372	4505
374	13424	4474
375	13464	4440
376	13518	4410
377	13551	4373
378	13580	4335
379	13609	4297
380	13646	4262
381	13682	4226
382	13718	4190
383	13749	4153
384	13792	4119
385	13834	4085
386	13876	4051
387	13917	4017
388	13955	3982
389	13996	3947
390	14026	3910
391	14056	3872
392	14084	3834
393	14112	3796
394	14148	3760
395	14179	3723
396	14211	3686
397	14246	3651
398	14270	3612
399	14303	3575
400	14335	3539
401	14368	3502
402	14403	3466
403	14445	3432
404	14484	3397
405	14523	3362
406	14580	3331
407	14613	3295
408	14661	3262
409	14714	3229
410	14748	3193
411	14781	3157
412	14813	3120
413	14833	3081
414	14854	3042
415	14888	3006
416	14919	2969
417	14940	2930
418	14973	2894
419	15005	2858
420	15029	2820
421	15073	2786
422	15107	2750
423	15128	2711
424	15158	2674
425	15192	2639
426	15214	2601
427	15239	2563
428	15260	2525
429	15291	2489
430	15325	2453
431	15345	2415
432	15375	2379
433	15408	2343
434	15437	2306
435	15472	2271
436	15526	2238
437	15578	2205
438	15631	2171
439	15682	2138
440	15762	2108
441	15815	2075
442	15874	2042
443	15911	2006
444	15942	1970
445	15975	1934
446	16008	1898
447	16043	1862
448	16085	1827
449	16144	1793
450	16175	1757
451	16205	1720
452	16240	1685
453	16274	1648
454	16313	1613
455	16345	1577
456	16375	1540
457	16407	1504
458	16436	1468
459	16466	1431
460	16498	1395
461	16538	1360
462	16568	1324
463	16599	1287
464	16636	1252
465	16678	1216
